שם,כוננות מחלקה,מיון 14:00,מיון 1 - צעיר,מיון 2 - ותיק,תורן מחלקות,תורן גריאטריה,כונן נוער,תורנות מיון שישי
איתן לוי,V,,,,,,,
מיכל כהן,V,,,,V,,,
דוד שפירא,V,,,,,,,
רחל אברהם,V,,,,,V,,
יוסף גולדברג,V,,,,,,,
שרה ביטון,V,,,,,,V,
אהרון פרץ,V,,,,,,,
נועה גרין,V,,,,V,,,
משה רוזנברג,V,,,,,,V,
לאה חדד,,V,,,,,,V
בנימין פרידמן,,V,,,,,,
רינה שמש,,V,,,,,,V
גיל אוחיון,,,V,,,,,V
טל בן-דוד,,,V,,,,,
אסתר מזרחי,,,V,,,,,
עומר ברק,,,,V,,,,
שירי נוי,,,,V,,,,
ירון אוזן,,,,V,,,,V
נתן ויס,,,,,V,,,
הדס קפלן,,,,,,V,,
יעל שוחט,,,,,V,V,,
אלון מנחם,,,,,,,V,
רון גדסי,,,,,,V,V,
