שם,מחלקת אם,אח/אחות,אחראי משמרת,על בסיסי,גבר,אישה,ותיק,צעיר,כוח עזר,סטודנט
דנה לוי,אלון,v,v,v,,v,v,,,
מיכאל כהן,אלון,v,v,,v,,v,,,
רחל שפירא,אלון,v,,,,,v,,v,,
יוסי אברהם,אלון,v,,,v,,,v,,
נועה גולן,אלון,v,,,,v,,v,,
אמיר בן-דוד,אלון,v,v,,v,,,v,,
שירה מזרחי,אלון,v,,,,v,v,,,
אייל פרץ,אלון,v,,,v,,,v,,
מיה רוזנברג,אלון,v,,,,v,,v,,
גלעד אוחיון,אלון,v,v,,,v,,,,v
תמר כץ,אלון,v,v,v,,v,v,,,
ניר שלום,אלון,v,,,v,,v,,,
הדר ביטון,אלון,v,v,,,,v,v,,,
אורי לבנון,אלון,v,,,v,,v,v,,
שרה פרידמן,אלון,v,,,,v,,v,,
מוטי דהן,אלון,v,,,v,,v,,,
ליאת גרינברג,אלון,v,,,,v,,v,,
רון אלון,אלון,v,v,,v,,,,v,
חיה וייס,אלון,,,,,v,,,,v
אסף קפלן,אלון,v,,,v,,v,,,
